Data	Secondi	Cubo
2025-01-11	111.29	3x3
2025-01-11	78.77	3x3
2025-01-11	272.29	2x2
2025-01-11	95.09	3x3
2025-01-11	113.01	3x3
2025-01-11	272.52	2x2
2025-01-12	867.31	Mirror
2025-01-14	116.36	2x2
2025-01-15	51.38	2x2
2025-01-15	70.02	2x2
2025-01-15	166.51	2x2
2025-01-16	162.79	3x3
2025-01-16	69.58	3x3
2025-01-18	58.14	3x3
2025-01-18	97.49	3x3
2025-01-18	937.12	5x5
2025-01-18	294.18	4x4
2025-01-18	227.47	4x4
2025-01-18	218.12	4x4
2025-01-18	54.18	2x2
2025-01-18	43.13	2x2
2025-01-18	36.84	2x2
2025-01-18	100.18	2x2
2025-01-18	43.78	2x2
2025-01-18	32.24	2x2
2025-01-19	246.79	4x4
2025-01-19	373.76	4x4
2025-01-19	251.41	4x4
2025-01-19	127.41	3x3
2025-01-26	290.0	4x4
2025-01-26	28.12	2x2
2025-01-26	39.25	2x2
2025-01-26	73.17	2x2
2025-01-26	903.46	5x5
2025-01-28	94.23	3x3
2025-01-28	89.46	3x3
2025-01-30	91.89	3x3
2025-01-30	77.37	3x3
2025-01-31	100.64	3x3
2025-01-31	80.13	3x3
2025-01-31	69.26	3x3
2025-02-02	56.01	3x3
2025-02-02	73.64	3x3
2025-02-02	417.31	4x4
2025-02-07	81.68	2x2
2025-02-07	80.08	3x3
2025-02-07	323.58	4x4
2025-02-07	863.61	5x5
2025-02-09	1810.61	Megaminx
2025-02-10	41.52	2x2
2025-02-10	77.57	3x3
2025-02-10	279.59	4x4
2025-02-10	1090.49	5x5
2025-02-13	106.12	3x3
2025-02-13	69.87	3x3
2025-02-13	54.39	3x3
2025-02-13	94.80	3x3
2025-02-13	744.10	Mirror
2025-02-14	85.29	3x3
2025-02-14	54.88	3x3
2025-02-14	58.61	3x3
2025-02-14	69.00	3x3
2025-02-21	740.9	5x5
2025-02-22	846.94	Mirror
2025-02-22	2023.52	Megaminx
2025-02-22	66.66	3x3
2025-02-22	66.79	3x3
2025-02-22	53.79	2x2
2025-02-22	26.9	2x2
2025-02-23	223.11	4x4
2025-02-23	35.07	2x2
2025-02-23	28.13	2x2
2025-02-23	75.94	2x2
2025-02-23	66.33	2x2
2025-02-23	55.66	3x3
2025-02-23	58.22	3x3
2025-03-08	652.34	5x5
2025-03-09	60.42	3x3
2025-03-09	56.58	3x3
2025-03-09	53.06	2x2
2025-03-09	51.28	2x2
2025-03-09	15.66	2x2
2025-03-21	85.99	2x2
2025-03-21	24.74	2x2
2025-03-21	15.12	2x2
2025-03-21	62.7	3x3
2025-03-21	57.39	3x3
2025-03-21	74.59	3x3
2025-04-19	2632.0	Megaminx
2025-04-19	934.0	5x5
2025-05-03	63.13	3x3
2025-05-03	67.54	3x3
2025-05-03	69.86	3x3
2025-05-03	66.14	3x3
2025-05-03	44.56	3x3
2025-05-03	56.63	3x3
2025-05-03	68.23	3x3
2025-05-04	81.73	3x3
2025-05-04	80.25	3x3
2025-05-26	51.99	2x2
2025-05-26	37.40	2x2
2025-05-26	43.03	2x2
2025-05-26	73.54	2x2
2025-05-26	70.02	2x2
2025-05-26	71.37	2x2
2025-05-28	44.56	3x3
2025-05-28	56.63	3x3
2025-05-28	68.23	3x3
2025-05-28	66.14	3x3
2025-05-28	246.83	4x4
2025-05-28	241.70	4x4
2025-05-28	457.2	Mirror
2025-05-28	238.89	Mirror
2025-05-28	309.48	Mirror
2025-07-13	491.75	Mirror
2025-07-13	283.25	4x4
2025-07-13	328.1	4x4
2025-07-16	70.67	3x3
2025-07-16	81.63	3x3
2025-07-16	73.39	3x3
2025-07-16	73.41	3x3
2025-07-16	404.62	4x4
2025-07-16	326.26	4x4
2025-07-16	242.52	4x4
2025-07-20	275.69	4x4
2025-07-20	791.13	5x5
2025-07-20	802.76	5x5
2025-07-20	814.49	5x5
2025-08-06	633.18	5x5
2025-08-06	797.9	5x5
2025-08-10	241.43	4x4
2025-08-10	252.54	4x4
2025-08-10	241.82	4x4
2025-08-10	232.52	4x4
2025-08-10	345.13	Mirror
2025-08-10	563.77	5x5
